source_file,record_count,processed_date
VA_violations_20251110_082324.csv,1,2026-02-01
MD_violations_20251024_082052.csv,1,2026-02-01
VA_violations_20251211_082424.csv,1,2026-02-01
PA_violations_20260114_082439.csv,1,2026-02-01
MD_violations_20250904_081937.csv,1,2026-02-01
MD_violations_20251223_082424.csv,1,2026-02-01
VA_violations_20251208_082545.csv,1,2026-02-01
VA_violations_20251025_081751.csv,1,2026-02-01
PA_violations_20250825_082219.csv,1,2026-02-01
PA_violations_20250924_082036.csv,1,2026-02-01
PA_violations_20260118_082143.csv,1,2026-02-01
MD_violations_20260111_082130.csv,1,2026-02-01
VA_violations_20260107_082450.csv,1,2026-02-01
VA_violations_20251103_082223.csv,1,2026-02-01
VA_violations_20251219_082317.csv,1,2026-02-01
PA_violations_20260131_082420.csv,1,2026-02-01
MD_violations_20251023_082132.csv,1,2026-02-01
PA_violations_20251118_082131.csv,1,2026-02-01
MD_violations_20250910_082008.csv,1,2026-02-01
PA_violations_20251113_082137.csv,1,2026-02-01
VA_violations_20250803_181117.csv,1,2026-02-01
MD_violations_20250818_082349.csv,1,2026-02-01
PA_violations_20260112_082634.csv,1,2026-02-01
VA_violations_20260116_082433.csv,1,2026-02-01
VA_violations_20251217_082404.csv,1,2026-02-01
VA_violations_20251105_082119.csv,1,2026-02-01
PA_violations_20250822_082040.csv,1,2026-02-01
VA_violations_20250912_081918.csv,1,2026-02-01
VA_violations_20251007_082040.csv,1,2026-02-01
VA_violations_20251224_082348.csv,1,2026-02-01
PA_violations_20260129_083329.csv,1,2026-02-01
VA_violations_20251028_082116.csv,1,2026-02-01
MD_violations_20251219_082317.csv,1,2026-02-01
VA_violations_20250822_082040.csv,1,2026-02-01
PA_violations_20251228_082136.csv,1,2026-02-01
VA_violations_20251021_082142.csv,1,2026-02-01
PA_violations_20260128_082647.csv,1,2026-02-01
VA_violations_20250930_082112.csv,1,2026-02-01
VA_violations_20250927_081709.csv,1,2026-02-01
VA_violations_20250919_081937.csv,1,2026-02-01
VA_violations_20251011_081742.csv,1,2026-02-01
MD_violations_20250825_082219.csv,1,2026-02-01
PA_violations_20251221_082101.csv,1,2026-02-01
VA_violations_20251016_082136.csv,1,2026-02-01
MD_violations_20250815_082120.csv,1,2026-02-01
PA_violations_20250807_085914.csv,1,2026-02-01
MD_violations_20251010_082027.csv,1,2026-02-01
VA_violations_20260104_082154.csv,1,2026-02-01
PA_violations_20251003_081915.csv,1,2026-02-01
VA_violations_20250928_081704.csv,1,2026-02-01
MD_violations_20251218_082336.csv,1,2026-02-01
PA_violations_20251111_082058.csv,1,2026-02-01
PA_violations_20251102_081727.csv,1,2026-02-01
MD_violations_20251005_081712.csv,1,2026-02-01
VA_violations_20250816_081918.csv,1,2026-02-01
MD_violations_20260131_082420.csv,1,2026-02-01
VA_violations_20250828_082003.csv,1,2026-02-01
MD_violations_20251129_082013.csv,1,2026-02-01
VA_violations_20250815_082120.csv,1,2026-02-01
MD_violations_20251104_082211.csv,1,2026-02-01
PA_violations_20250906_081702.csv,1,2026-02-01
PA_violations_20250806_090018.csv,1,2026-02-01
PA_violations_20251004_081650.csv,1,2026-02-01
VA_violations_20251106_082154.csv,1,2026-02-01
PA_violations_20260105_082730.csv,1,2026-02-01
VA_violations_20250807_085914.csv,1,2026-02-01
VA_violations_20251006_082049.csv,1,2026-02-01
PA_violations_20260115_082537.csv,1,2026-02-01
PA_violations_20251008_082103.csv,1,2026-02-01
PA_violations_20250803_173741.csv,1,2026-02-01
MD_violations_20251004_081650.csv,1,2026-02-01
PA_violations_20251115_081849.csv,1,2026-02-01
VA_violations_20251121_082224.csv,1,2026-02-01
PA_violations_20250925_082015.csv,1,2026-02-01
VA_violations_20250818_082349.csv,1,2026-02-01
VA_violations_20250904_081937.csv,1,2026-02-01
MD_violations_20250907_081653.csv,1,2026-02-01
PA_violations_20250817_081943.csv,1,2026-02-01
VA_violations_20251227_082123.csv,1,2026-02-01
PA_violations_20250908_082154.csv,1,2026-02-01
MD_violations_20260102_082359.csv,1,2026-02-01
MD_violations_20251109_081749.csv,1,2026-02-01
VA_violations_20251019_081749.csv,1,2026-02-01
VA_violations_20251221_082101.csv,1,2026-02-01
VA_violations_20260108_082507.csv,1,2026-02-01
MD_violations_20250806_090018.csv,1,2026-02-01
PA_violations_20251030_082028.csv,1,2026-02-01
VA_violations_20251213_082007.csv,1,2026-02-01
VA_violations_20260117_082118.csv,1,2026-02-01
MD_violations_20251020_082111.csv,1,2026-02-01
PA_violations_20250823_081801.csv,1,2026-02-01
MD_violations_20250821_082038.csv,1,2026-02-01
MD_violations_20251105_082119.csv,1,2026-02-01
MD_violations_20251103_082223.csv,1,2026-02-01
VA_violations_20251114_082102.csv,1,2026-02-01
MD_violations_20251016_082136.csv,1,2026-02-01
PA_violations_20250826_082143.csv,1,2026-02-01
PA_violations_20251119_082121.csv,1,2026-02-01
PA_violations_20251123_081926.csv,1,2026-02-01
MD_violations_20251205_082216.csv,1,2026-02-01
VA_violations_20251008_082103.csv,1,2026-02-01
PA_violations_20251203_082316.csv,1,2026-02-01
VA_violations_20251122_081924.csv,1,2026-02-01
VA_violations_20250918_081926.csv,1,2026-02-01
PA_violations_20251227_082123.csv,1,2026-02-01
PA_violations_20260117_082118.csv,1,2026-02-01
MD_violations_20250804_090008.csv,1,2026-02-01
MD_violations_20251216_082435.csv,1,2026-02-01
MD_violations_20250831_081745.csv,1,2026-02-01
MD_violations_20250826_082143.csv,1,2026-02-01
VA_violations_20251029_082130.csv,1,2026-02-01
MD_violations_20251028_082116.csv,1,2026-02-01
PA_violations_20260116_082433.csv,1,2026-02-01
VA_violations_20250824_081744.csv,1,2026-02-01
MD_violations_20251002_081910.csv,1,2026-02-01
PA_violations_20260122_082623.csv,1,2026-02-01
VA_violations_20251207_081938.csv,1,2026-02-01
MD_violations_20251106_082154.csv,1,2026-02-01
PA_violations_20250818_082349.csv,1,2026-02-01
VA_violations_20251127_082329.csv,1,2026-02-01
MD_violations_20251201_082527.csv,1,2026-02-01
PA_violations_20260120_082639.csv,1,2026-02-01
VA_violations_20251130_081930.csv,1,2026-02-01
MD_violations_20260129_083329.csv,1,2026-02-01
MD_violations_20260103_082126.csv,1,2026-02-01
VA_violations_20251129_082013.csv,1,2026-02-01
MD_violations_20250926_082118.csv,1,2026-02-01
PA_violations_20251011_081742.csv,1,2026-02-01
VA_violations_20251209_082400.csv,1,2026-02-01
VA_violations_20251024_082052.csv,1,2026-02-01
MD_violations_20251013_082150.csv,1,2026-02-01
VA_violations_20250804_090008.csv,1,2026-02-01
MD_violations_20251221_082101.csv,1,2026-02-01
PA_violations_20251127_082329.csv,1,2026-02-01
PA_violations_20250811_085717.csv,1,2026-02-01
VA_violations_20251118_082131.csv,1,2026-02-01
PA_violations_20251122_081924.csv,1,2026-02-01
PA_violations_20251027_082152.csv,1,2026-02-01
PA_violations_20260110_082140.csv,1,2026-02-01
PA_violations_20250911_082000.csv,1,2026-02-01
PA_violations_20251018_081824.csv,1,2026-02-01
PA_violations_20251012_081742.csv,1,2026-02-01
MD_violations_20251207_081938.csv,1,2026-02-01
MD_violations_20251030_082028.csv,1,2026-02-01
PA_violations_20250920_081732.csv,1,2026-02-01
WV_violations_20250803_152951.csv,1,2026-02-01
VA_violations_20260129_083329.csv,1,2026-02-01
PA_violations_20260130_083255.csv,1,2026-02-01
MD_violations_20251108_081844.csv,1,2026-02-01
VA_violations_20251124_082327.csv,1,2026-02-01
MD_violations_20251224_082348.csv,1,2026-02-01
VA_violations_20251003_081915.csv,1,2026-02-01
PA_violations_20250903_081946.csv,1,2026-02-01
VA_violations_20250819_082053.csv,1,2026-02-01
VA_violations_20251020_082111.csv,1,2026-02-01
VA_violations_20260106_082506.csv,1,2026-02-01
VA_violations_20250913_081704.csv,1,2026-02-01
VA_violations_20251030_082028.csv,1,2026-02-01
VA_violations_20260103_082126.csv,1,2026-02-01
PA_violations_20251024_082052.csv,1,2026-02-01
VA_violations_20250921_081637.csv,1,2026-02-01
VA_violations_20250903_081946.csv,1,2026-02-01
MD_violations_20250906_081702.csv,1,2026-02-01
MD_violations_20251222_082453.csv,1,2026-02-01
VA_violations_20251226_082235.csv,1,2026-02-01
PA_violations_20250907_081653.csv,1,2026-02-01
VA_violations_20260115_082537.csv,1,2026-02-01
PA_violations_20260111_082130.csv,1,2026-02-01
VA_violations_20251222_082453.csv,1,2026-02-01
VA_violations_20250929_082214.csv,1,2026-02-01
MD_violations_20251204_082400.csv,1,2026-02-01
PA_violations_20251217_082404.csv,1,2026-02-01
MD_violations_20250803_173741.csv,1,2026-02-01
VA_violations_20251012_081742.csv,1,2026-02-01
VA_violations_20250809_084904.csv,1,2026-02-01
VA_violations_20250911_082000.csv,1,2026-02-01
VA_violations_20251210_082325.csv,1,2026-02-01
MD_violations_20260107_082450.csv,1,2026-02-01
VA_violations_20251102_081727.csv,1,2026-02-01
PA_violations_20250902_082045.csv,1,2026-02-01
VA_violations_20260111_082130.csv,1,2026-02-01
MD_violations_20260121_082629.csv,1,2026-02-01
MD_violations_20251211_082424.csv,1,2026-02-01
VA_violations_20251204_082400.csv,1,2026-02-01
PA_violations_20250805_085948.csv,1,2026-02-01
PA_violations_20250910_082008.csv,1,2026-02-01
VA_violations_20260125_082201.csv,1,2026-02-01
VA_violations_20251201_082527.csv,1,2026-02-01
VA_violations_20250924_082036.csv,1,2026-02-01
MD_violations_20250921_081637.csv,1,2026-02-01
PA_violations_20250804_090008.csv,1,2026-02-01
MD_violations_20250828_082003.csv,1,2026-02-01
PA_violations_20250921_081637.csv,1,2026-02-01
VA_violations_20260130_083255.csv,1,2026-02-01
PA_violations_20250926_082118.csv,1,2026-02-01
VA_violations_20250805_085948.csv,1,2026-02-01
VA_violations_20251009_082028.csv,1,2026-02-01
PA_violations_20251126_082225.csv,1,2026-02-01
MD_violations_20251027_082152.csv,1,2026-02-01
PA_violations_20251025_081751.csv,1,2026-02-01
PA_violations_20250929_082214.csv,1,2026-02-01
PA_violations_20251031_082015.csv,1,2026-02-01
MD_violations_20251230_082402.csv,1,2026-02-01
PA_violations_20250812_085411.csv,1,2026-02-01
MD_violations_20251107_082126.csv,1,2026-02-01
VA_violations_20250901_082208.csv,1,2026-02-01
VA_violations_20251002_081910.csv,1,2026-02-01
MD_violations_20250916_082049.csv,1,2026-02-01
PA_violations_20250831_081745.csv,1,2026-02-01
MD_violations_20250927_081709.csv,1,2026-02-01
PA_violations_20250829_081942.csv,1,2026-02-01
VA_violations_20251123_081926.csv,1,2026-02-01
MD_violations_20250918_081926.csv,1,2026-02-01
PA_violations_20251108_081844.csv,1,2026-02-01
MD_violations_20250824_081744.csv,1,2026-02-01
PA_violations_20251125_082252.csv,1,2026-02-01
MD_violations_20250816_081918.csv,1,2026-02-01
